Polski,English
To się musiało wydarzyć,It was bound to happen
Już w połowie lipca,As early as mid-July
Wystosować apel,Issue an appeal
Prognozy się sprawdzają,Forecasts are coming true
"Grzmieć, grzmot",Thunder
Burza nadciąga,Storm is coming
Nie ominie nas,It won't miss us
Nie przejdzie bokiem,It won't pass by us
Piorun może nas uderzyć,Lightning can strike us
Kiedy pada,When the rain falls
Wpaść w przepaść,Fall into an abyss
Pogoda zmienia się błyskawicznie,Weather changes in a flash
W pogodny dzień,On a clear day
Mgła może zejść,Fog can roll in
Nic nie widać,You can't see a thing
Przeć bezmyślnie naprzód,To push thoughtlessly onward
Nie bardzo słuchają,Don't really listen
Zdarzył się wypadek,An accident occurred
Rozpogodziło się nad górami,The weather cleared over the mountains
Tłumy ruszyły na szlaki,Crowds set out onto the trails
Turyści nie zwracali uwagi na prognozy,Tourists paid no heed to forecasts
"Mówiące, że",Stating that
W górach mogą wystąpić burze,Storms could occur in the mountains
Przewidywania sprawdziły się,Predictions came true
Chmury zasnuły,Clouds shrouded
Waliły błyskawice,Lightnings hammered
Zwieńczony,Topped with
Śmiertelnie raziły turystów,Fatally struck tourists
Nawałnica,Gale
Przyciągać,Attracts
Łatwa trasa,Easy route
Przełęcz Kondratowa,Kondracka Pass
Tłumy ciągną do,Crowds flock to
Kilkadziesiąt minut,Better part of an hour
Zachodnie Tatry,The Western Tatras
Zawrócili na początku burzy,Turned back at the start of the storm
Iść dalej,Press on
I gdy czekali,And as they were waiting
W kolejce do wejścia na szczyt,In line to reach the summit
W centrum żywiołu,In the very heart of the elements
Równolegle do akcji prowadzonej od kilku dni,Parallel to the operation that had been underway for several days
Doszła konieczność,There now came the need
Sto pięćdziesiąt siedem,one hundred and fifty-seven
Sztab pomocy urządzono,Rescue coordination center was set up
schronisko górskie,mountain hut
dotarli tam strażacy,firefighters arrived on the scene
lotnicze pogotowie ratunkowe,air ambulance service
w akcji ratunkowej uczestniczyli,rescue operation involved
zginął turysta,one tourist lost their life
mniej poszkodowani,less severely injured
rześka mgła,brisk fog
wyszliśmy z pensjonatu,we left guesthouse
około 9 (godzina),about 9
dotrzeć na Giewont,Reach the summit of Giewont
Kiedy już schodziliśmy (z gór),As we were headed down
Usłyszeliśmy pierwsze grzmoty,We heard first claps of thunder
Zaczęły walić pioruny,The lightning started crashing down
Zobaczyliśmy porażoną kobietę,We saw a woman who had been struck
Opisywał historię,He was recounting a story
Wspinaczka,Climb
Potłuczenia i otarcia,Bruises and scrapes
Niektórzy mieli poparzone 30% ich ciała,Some had burns covering 30% of their body
Nocą (w nocy),Overnight
Przejść operację usunięcia kawałków skał,Underway surgery to remove rock fragments
